"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['17-Oct-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['28-Jan-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['16-Apr-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['17-Oct-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['21-Mar-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['04-May-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Jun-04-18', 'Upgrade', 'Credit Suisse', 'Neutral → Outperform', None]","['Jan-17-18', 'Upgrade', 'JP Morgan', 'Underweight → Neutral', None]","['Sep-07-17', 'Upgrade', 'Credit Suisse', 'Underperform → Neutral', None]","['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['28-Jan-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['16-Apr-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['17-Oct-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['04-May-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
"['Oct-17-13', 'Upgrade', 'Standpoint Research', 'Hold → Buy', None]","['Jan-28-10', 'Upgrade', 'Deutsche Bank', 'Hold → Buy', '$40 → $43']","['Apr-16-08', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', None]","['Oct-17-07', 'Upgrade', 'Deutsche Securities', 'Hold → Buy', '$90']","['Mar-21-12', 'Downgrade', 'Barclays', 'Equal Weight → Underweight', None]","['May-04-10', 'Downgrade', 'Barclays Capital', 'Overweight → Equal Weight', None]"
